Latitude (meters),Longitude (meters),Concentrations (mg/kg)
274.5464750754305,-348.2377857991466,1058.7515066041947
225.48707780203154,-659.4044725323611,1121.1886914392185
-155.17749221820637,740.4284791325451,306.00218088524247
-1144.4095869350554,-555.453235717855,26.71820331305549
-206.49920766814859,907.7066693848419,393.7909887458118
441.00770515070604,-644.156000724643,1219.4302047237543
266.75211359363243,-148.52230333425842,804.9511557650966
154.90412388862885,-429.9944526481552,1016.2637382826093
390.86773093711,668.7756500284261,78.46343816407162
-183.18219757020404,566.8282958405155,103.39601163739131
518.3962962114134,-555.6393303132302,1215.8499515830365
-1201.4122055734333,-1074.2109702042915,35.33500918311299
270.45767672575323,-786.793134096555,1066.7306653689584
275.7732882313189,-546.2908916066643,1203.3169617047388
-1046.1666315474695,-927.628637839933,37.841191368721326
-810.1523327096688,-1218.2529891507374,18.598710208419917
-1003.2393339371042,-1253.850622949416,29.989357338753035
-127.32027542652659,861.8036222452768,461.5474115105647
87.98357906324358,774.4288512814347,394.3942946162536
563.6539575103147,-156.790241823352,805.6690665098332
234.02873602026028,964.7062284394867,380.0392126566344
-920.4967764631446,-765.8691694906338,22.62460317687323
-1235.5620762515082,-889.095166176815,37.07133803317922
-1196.3729639760334,-497.8270538354896,16.239073775036427
534.3497075034495,-340.61262586689077,1046.2526984273413
-382.66263811064806,856.1499944910945,158.81454470408494
92.72694431898536,-390.6102412127653,921.9943798831102
13.373978949286705,1262.6059644330276,332.7817971874835
-1115.0018170828696,-1044.558154399316,36.08516514383011
-1105.6106768072761,-968.6222614513381,36.803478806827705
-914.3162833683887,-1166.298302862557,47.25068937873098
-354.860698987162,1274.500970369663,113.38355424949086
624.5628143553906,-294.8267772014019,925.5828455218451
133.46179708820108,-179.4550935783306,757.1912301001695
69.5459656551391,1498.0961916749052,81.19394980389927
81.23913779865939,900.3309006638076,549.8224434763273
140.54480137602465,-452.1754543333767,1014.2897064107835
200.56610689563402,728.8703548821717,239.4964823028216
-686.685086282961,-994.9590780081378,18.05701771462077
-1111.220246274991,-1111.7751408568615,36.62950939422621
-876.3915358699217,-876.6913717810698,37.12341523452874
-110.24661588965859,796.03735132845,410.22747031169223
292.8559325078732,-553.4184017044062,1202.7428153378519
469.4004745378764,-10.727966421385382,668.1225538368975
-835.2975543101169,-1387.0518090855164,21.083497647700543
89.07500960911412,855.043555188203,492.16980428324626
4.420411005492408,1402.344954946068,159.5797463664008
355.15080540127383,-705.535453985802,1188.8510648854653
138.49731052332962,951.2691073496818,518.1856168266738
157.04775752497386,986.6596789814909,496.0540097810337
-1127.1424489040892,-876.8158160527946,33.41799754756514
-663.3293653753362,-1336.4442550701474,23.63571601431521
-552.2141173252584,-886.280098981171,7.508118238193015
406.79641027131066,-592.8585265210211,1246.189614109818
-1628.7388249815385,-802.7433989499463,12.065480657839787
-15.859151675355976,709.3561120570105,311.4962745758039
464.09206380862213,-386.4886090503751,1132.1123277351753
-185.70940778485752,701.2828712052599,244.0614773420543
-26.10243562964582,1096.410813303746,549.8991987646807
-914.1310335164119,-865.4117136716238,39.56004732686082
-1330.6406483097016,-1225.0780095796295,7.511246258698922
445.8637763247768,-588.8552284425243,1241.3560820174232
524.2381649125895,-774.1785151568317,1092.148387618204
-948.6175014087511,-1298.9773068908771,29.45085166361293
497.9806613714732,-1008.6200650170816,812.2499190994065
283.03132417531833,1016.2044355384262,314.81165873163997
-1113.2636477894641,-738.6518567278321,23.53825883694182
-1254.952891294265,-886.3378166475565,22.710278221577965
625.1881134342394,-723.8507347721697,1056.2682951306176
-201.53324212338623,856.1457650934348,377.5878152442985
3.3430300591070883,994.2099790935993,604.5246337612992
-137.6788816512567,868.7538541023059,456.4425290365478
771.4012483192148,-168.9893584570748,680.6820413046293
99.10354902614984,864.7061073270461,496.80058376627767
-985.5447496141537,-408.82189300353133,17.75443963388788
-142.17454181732862,792.6422152768442,381.3742103395411
-1171.6728902223924,-836.8965402556778,25.063114441444693
252.9307142837473,-693.0483743846362,1136.9797579136211
-1265.5203937614467,-1287.089589779361,26.249703254707583
-952.2256730623673,-1144.0520505181107,29.090104540498547
-868.6966285191909,-1048.5262365841345,35.83044962880813
-1175.2879916121128,-948.049938500326,25.434138900788362
249.52790613093586,-165.01234608073716,813.733821215041
525.5527039722414,806.0084115147637,51.49829549166082
138.37367113338394,1074.7000370904489,479.9604681685464
-1233.9236008545572,-811.0996951018116,29.39106717202703
359.891660723955,-564.7887152560025,1239.1063870809962
-804.9938026253924,-674.5023931430025,22.255203822121544
-66.01240731639456,447.53892046345965,63.673099769830436
-1364.648791828963,-1116.2161774879003,25.262473821581654
62.33340041315565,782.9640099749419,418.14707798916555
656.001925501397,-319.36905829303856,925.6395536292631
18.56839383542839,793.2917916812168,437.93986026670467
-316.8559696849541,1439.5501038050447,58.66169776573689
-59.751395634977634,1233.1770282290454,351.45077237354633
686.8111909419621,-965.564857148106,747.8081365973559
468.6076937739772,-519.730370403114,1217.5512890802415
299.1551638969943,-667.6283061265218,1178.3698257583126
-983.2474996023955,-1092.4752632468226,36.71586610538196
478.27192533810836,-900.2672583324728,948.922222984049
178.424020933383,-924.4043053479201,838.4969413766113
772.1201182753784,-839.6049697773097,806.905439143316
747.2746922448958,-552.8268536372221,943.5882048211901
295.72090541624425,-674.2013096324735,1186.174868016602
-1002.9392254832595,-1215.3410491565996,21.355568598654514
209.35695281296276,1044.0020813772044,409.2768958905404
-849.8398365363986,-1205.7178135399076,19.457687831573082
657.6716199663454,-846.3636718586545,902.9038026876232
254.02187684390105,577.9025232584526,98.89909756368594
-117.02549377739844,896.1860349232911,497.13837805243304
246.94240377968418,-727.4392692004362,1108.3063680024095
-496.18610400957033,978.6111905169308,89.3617296931138
-720.8406994828098,-997.544065355299,21.45918935403362
-132.8758332833237,712.5093057786763,268.27682497029025
313.3681202034208,-321.7608471925805,1047.2663970446977
-981.8069060335057,-1162.5188107629067,26.84851147804261
-922.2000754027739,-1031.2343330482443,35.75731194656379
372.27647412540546,1027.761912230286,189.92637571182817
-248.93907703834955,954.318717259934,378.48739890098625
-1257.0141995346671,-884.2066203416355,24.36771760878008
94.66851417079124,898.9637246031369,520.4786273106154
646.9973529581545,-486.5766042208697,1063.4901844495491
-608.2212870564076,-1343.233930710552,19.331755963040422
775.7257670162417,-615.7800626575171,915.3844768326834
280.2676947983537,1061.0610023922911,308.2436505188685
11.645190706758477,800.571972061351,455.68653100294944
77.45245448114147,801.4645735474425,442.67780940942475
390.9676714180364,-335.2075483160349,1074.683170628026
275.8507719759107,-261.75661435546084,947.2794879416331
-58.97833538062663,934.5463432605591,575.7262648614934
292.9159760284529,-1053.4897754269273,743.1310141421316
267.4664693725669,-448.09636373867744,1132.8970568392792
81.02463889804852,901.1495281306079,546.7080428978237
342.3219044420476,-689.9569938119033,1192.5686104805275
831.4447664438853,-446.1977132959176,795.9807230209698
-138.42511933639986,1181.2938941981815,379.8569196520043
-645.3054292620361,-1124.3848523856752,24.416642797740867
-1460.5050916717698,-1006.363330107812,25.879846486283917
-945.409615695009,-686.2857389722172,40.77415861836991
151.86764786550836,1544.966285873055,72.12421703414982
197.56094015085947,1017.5963121252169,439.0148435619341
357.5326654014281,-791.5913386892289,1094.3811075092553
-1203.2304923364172,-1363.5633339246076,3.256306216916588
556.0482827100786,-623.802207307052,1174.3177221234625
-886.4229701023494,-1017.4789390376494,26.573451122015705
-236.57425112053048,1120.9711637242826,333.8455090796914
288.29134131934677,902.0619104748278,278.688619856623
391.67562702717254,-543.788464191235,1245.373724430325
-335.65621771659386,1135.112616805737,214.86838229790473
237.6658475057753,-167.77429610140427,815.5010349484886
-1049.949340085746,-1118.32022431812,31.18290489498979
-862.9862774336399,-727.4642463566563,17.081703082748056
-1036.4284228085398,-858.8038704437016,18.979458765254215
127.15300269966787,1345.976468957896,184.15842073827645
-231.58163053922505,1164.6523503996254,307.4144334908812
-215.61952112360592,1118.0606011615614,380.85355992740796
-1162.46128007343,-853.1976906781917,30.329953625219314
-1082.2514839664248,-1192.5465446131884,36.99550003750078
540.1427644782312,-686.2301017888943,1151.6187547157392
505.6034680127998,-720.4930138446267,1143.7213006565833
-929.6626064083165,-1171.4443403263283,22.46251430296256
-1017.2824291792801,-759.1521045059143,22.567232392401625
-30.700221955383967,770.6702942558978,423.7474586790793
391.6027622807292,-175.00784744747762,861.7882855592934
56.54749394605582,1185.007646532872,440.7755667056234
365.5497785447177,1129.338410484318,164.04597123631208
348.27446587081,1230.2249982604496,147.416911753053
-1339.6889780920994,-1100.9548774636862,25.90077350623576
-913.2650546779807,-630.8712240481674,20.955895579471104
406.8987575043562,-293.17155297424836,1030.4487014034296
282.5345337956267,-349.40138950342276,1057.4398030543011
-1113.9868746786294,-1156.7990158176908,33.43899380756668
541.7571593661542,-333.91114066010215,1033.6373553990402
-1168.4927425305646,-1078.6389151834644,20.548908965446614
274.11513609285436,-482.55010530529967,1160.3470380787946
554.2534623682105,-281.0033927682165,967.4289544735115
392.04952651028873,-169.30611275573096,873.2749427252671
261.84692170293425,-570.7176444851133,1186.224573822799
52.47666390010144,-1127.7134295888195,586.0365018433268
399.13539061826356,-878.0075254062103,999.8082096001569
447.0028612234436,-834.8094666276075,1061.4301264037445
-976.7013881564702,-767.5252022721066,30.479058025244864
-804.7558678312793,-1295.4074359441493,19.334511984758333
444.8240234744988,-781.2919037647974,1125.218385065724
64.9096381871613,987.9428537322073,594.9518017936922
-1194.038464694365,-1120.4216904602888,40.703156335604504
-1144.1532855805133,-1070.0064999503863,32.877466698743056
-62.30192432726515,639.2456912516545,204.5393011186997
448.7015250043119,-963.7785875993357,865.1882314347439
262.9170424521288,-462.5801324745219,1163.1926497075651
317.75497742071633,-689.1458078389899,1197.450454516104
208.70542082535843,1325.3530861131883,167.3163907819329
-1005.0163825513955,-971.8414280058923,31.87201287742586
-693.360425010778,-1141.9771333205993,35.11830443422008
140.54643030201706,-347.24331520010315,928.2623307647277
-309.59061593785293,689.1810947047322,128.36405482180828
28.870951610855727,1123.4653201740998,530.3563933782955
-1094.105956751718,-1351.2435875517085,19.056165637803016
-1385.7959762946946,-955.687873952247,21.565251783720115
-593.1946800305494,808.7451386870855,35.55602425007982
-1058.893147840689,-1180.8966794457974,32.67494990796498
431.9127217952502,-768.0289955854016,1144.6456084649863
588.5920380761996,-497.8901851716085,1132.9082360375853
-347.5402419593578,662.2086941496267,104.06628459291973
82.02143418651826,1450.2810014118127,88.58713021160773
-1296.8681706107398,-1316.9095871402262,19.392092510564705
482.25408313064906,-490.3792274030918,1202.8706341603545
-1116.487251478985,-980.3502065472825,23.337376104135515
-27.48956286062829,1297.0759148736308,271.9913824961511
-1212.1257846882718,-963.1059745730732,26.599699892563258
-648.2442954588271,-1054.1863121167685,30.08933741527958
-64.7699844704091,765.0967082122462,377.7153477707992
58.79197706609346,878.3336379109288,535.67135425278
396.0585049425395,-314.78561437245986,1054.9210932390667
-928.9311335045018,-937.3467346768266,31.215667132115478
120.22012502985137,765.3867412483478,361.81381342958366
573.2012953703764,-870.972425092135,951.3858209703313
-725.7225245163952,-819.5360721551742,34.88359938491109
569.8604645093142,-734.9920262146243,1093.1182409583075
-784.0960298960198,-926.2481149896138,23.133307666318558
193.99413275650878,-431.9256289418421,1061.9927333015066
503.1083725918206,-550.1549550808534,1220.040866352477
106.68932586593311,-428.8803767586269,961.1528575841758
-976.0836723789661,-1120.8341569878878,23.933371646377473
-488.07199008249603,-1468.5010718854005,16.25838336800448
779.0973149753709,-725.4864065167844,864.1509614093638
62.19719326772291,-786.67600502181,880.2208114627357
-411.15228698181056,1324.929369799699,83.48841172873635
-547.3153837094728,-958.1013249203586,12.515519553407621
-933.5942081607953,-801.4760202313543,27.49744678014856
47.540342584285185,965.3535011382537,586.9875249523136
-874.7340242519446,-928.7236784240353,27.5484683045971
-1185.4780514890174,-1056.836465617602,32.57626767051771
-768.7897289813628,-900.9325775352405,37.293523216856244
-1354.8452776881825,-1172.7626100147302,15.370835177648289
390.5067630744028,-436.4398326305701,1185.1787598046164
-972.7558371397004,-841.0886381149488,14.628649862848459
558.0506254414793,-117.5509106960761,760.5456545517892
-15.04298334556125,1229.2341569202972,371.9312608457434
586.9804751080383,1031.0130836740545,39.632289433620315
-949.8727371988587,-1470.320829731146,11.595765158937983
-156.15421658923847,883.089907896473,456.85922299164656
-1777.9041616165773,-1245.8530339202296,1.0802583292412642
596.9157234873674,-478.25423253424856,1102.706912145638
-740.0677016379335,-747.0875075116232,39.80760782160951
551.777857373325,-366.5869320895848,1055.8388320281547
-958.4365777957164,-907.523828865079,24.95288951747098
-1220.6618162161128,-628.0157427957905,34.943051626936736
-108.01571315501847,1149.4839837633997,475.98541974921164
-26.958731925799157,946.9672961120265,592.8491481811126
293.0793948638148,-251.1877254917518,944.3315436396733
